IATA	lat	lon	ICAO	time_zone	name	city	country
'YEG'	53.30970001	-113.5800018	'CYEG'	'America/Edmonton'	'Edmonton International Airport'	'Edmonton'	'Canada'
'YEK'	61.09420013	-94.07080078	'CYEK'	'America/Winnipeg'	'Arviat Airport'	'Eskimo Point'	'Canada'
'YEN'	49.21030045	-102.9660034	'CYEN'	'America/Regina'	'Estevan Airport'	'Estevan'	'Canada'
'YET'	53.57889938	-116.4649963	'CYET'	'America/Edmonton'	'Edson Airport'	'Edson'	'Canada'
'YEU'	79.99469757	-85.81420136	'CYEU'	'America/Winnipeg'	'Eureka Airport'	'Eureka'	'Canada'
'YEV'	68.30419922	-133.4830017	'CYEV'	'America/Edmonton'	'Inuvik Mike Zubko Airport'	'Inuvik'	'Canada'
'YFB'	63.75640106	-68.55580139	'CYFB'	'America/Toronto'	'Iqaluit Airport'	'Iqaluit'	'Canada'
'YFC'	45.8689003	-66.53720093	'CYFC'	'America/Halifax'	'Fredericton Airport'	'Fredericton'	'Canada'
'\N'	48.74610138	-69.09719849	'CYFE'	'America/Toronto'	'Forestville Airport'	'Forestville'	'Canada'
'YFO'	54.67810059	-101.6819992	'CYFO'	'America/Winnipeg'	'Flin Flon Airport'	'Flin Flon'	'Canada'
'YFR'	61.18080139	-113.6900024	'CYFR'	'America/Edmonton'	'Fort Resolution Airport'	'Fort Resolution'	'Canada'
'YFS'	61.7602005	-121.2369995	'CYFS'	'America/Edmonton'	'Fort Simpson Airport'	'Fort Simpson'	'Canada'
'YGK'	44.22529984	-76.59690094	'CYGK'	'America/Toronto'	'Kingston Norman Rogers Airport'	'Kingston'	'Canada'
'YGL'	53.62530136	-77.70420074	'CYGL'	'America/Toronto'	'La Grande Rivière Airport'	'La Grande Riviere'	'Canada'
'YGP'	48.77529907	-64.47859955	'CYGP'	'America/Toronto'	'Gaspé (Michel-Pouliot) Airport'	'Gaspe'	'Canada'
'YGQ'	49.77830124	-86.93939972	'CYGQ'	'America/Toronto'	'Geraldton Greenstone Regional Airport'	'Geraldton'	'Canada'
'YGR'	47.42470169	-61.77809906	'CYGR'	'America/Toronto'	'Îles-de-la-Madeleine Airport'	'Iles De La Madeleine'	'Canada'
