OACI	LATITUDE	LONGITUDE	ALTITUDE
SDCG	3d28'14"S	68d55'27"W	102
SDCO	23d28'59"S	47d29'11"W	633
SDDN	20d55'33"S	51d23'2"W	380
SDDR	21d27'38"S	51d36'25"W	372
SDEP	21d46'32"S	52d9'47"W	297
SDET	23d6'17"S	47d43'28"W	501
SDFD	20d16'36"S	50d12'50"W	500
SDFX	9d9'27"S	40d56'15"W	405
SDGC	22d11'1"S	49d39'22"W	665
SDGR	21d15'47"S	50d39'11"W	400
SDIG	21d44'50"S	48d51'21"W	542
SDI	24d9'53"S	46d47'8"W	4
SDIV	20d22'31"S	47d46'7"W	623
SDJC	21d13'51"S	48d17'8"W	625
SDJO	20d35'36"S	47d50'32"W	651
SDJV	22d1'0"S	46d50'26"W	762
SDKE	13d46'38"S	44d27'52"W	670
SDKF	9d9'19"S	40d5'30"W	392
SDKJ	11d1'16"S	45d11'14"W	511
SDKK	21d29'14"S	47d2'2"W	651
SDLC	21d44'58"S	51d1'6"W	450
SDLE	13d34'59"S	41d47'27"W	1146
SDLI	8d44'19"S	39d7'33"W	291
SDLK	14d28'52"S	42d15'53"W	662
SDLL	22d13'37"S	47d22'56"W	617
SDLP	22d34'42"S	48d46'28"W	621
SDLY	21d37'23"S	48d21'9"W	635
SBI	22d55'5"S	42d49'44"W	0
SDH	20d48'26"S	49d29'10"W	584
SDJ	22d24'36"S	46d54'17"W	693
SDO	21d15'41"S	48d31'47"W	750
SDNH	21d29'52"S	49d14'4"W	465
SDNO	22d41'46"S	48d34'34"W	730
SDOU	22d58'25"S	49d54'41"W	467
SDOV	14d44'41"S	50d34'14"W	328
SDOW	6d45'44"S	51d3'0"W	229
SDPD	22d56'37"S	45d25'53"W	585
SDPN	21d24'37"S	50d1'55"W	418
SDPV	21d53'36"S	51d53'4"W	445
SDPW	22d42'38"S	47d37'10"W	584
SDPY	22d1'35"S	47d25'10"W	683
SDRK	22d25'54"S	47d33'45"W	600
SDRR	23d5'35"S	48d59'3"W	810
SDRS	22d28'43"S	44d28'54"W	402
SDSC	21d52'35"S	47d54'12"W	807
SBSO	12d28'22"S	55d40'8"W	386
SDTB	23d7'42"S	46d34'29"W	797
SDTF	23d19'55"S	47d52'48"W	635
SDTI	21d23'35"S	51d35'56"W	365
SDTK	23d13'28"S	44d43'13"W	3
SDTP	21d53'24"S	50d30'21"W	550
SDUB	23d26'29"S	45d4'34"W	4
SDUN	21d13'10"S	41d52'32"W	125
SDUQ	22d25'37"S	50d36'25"W	476
SDVE	22d13'49"S	49d49'7"W	640
SDVG	20d27'26"S	50d0'9"W	508
SDWQ	1d55'1"S	54d43'22"W	30,87
SDXB	16d47'23"S	47d38'36"W	1200
SDXF	14d7'9"S	47d31'49"W	1345
SDXJ	18d29'29"S	53d10'6"W	738
SDYW	23d56'30"S	48d52'58"W	707
SDZG	5d56'0"S	40d17'51"W	450,98
SIBU	6d21'45"S	37d45'19"W	272
SIBW	7d33'45"S	38d29'51"W	370
SIBY	7d52'42"S	37d8'12"W	619
SIBZ	7d18'40"S	38d6'49"W	292
SICA	6d42'15"S	38d30'10"W	310
SICB	6d29'15"S	36d8'24"W	652
SILC	13d2'14"S	55d56'32"W	515
SIK	20d35'25"S	47d22'57"W	1003
SIZX	11d17'12"S	57d32'20"W	302
SJAU	8d50'16"S	49d33'28"W	207
SJBY	3d39'14"S	45d20'42"W	25
SJGU	5d41'4"S	48d6'56"W	125
SBJA	28d40'31"S	49d3'37"W	35
SJNP	7d7'33"S	55d24'3"W	242
SJOG	9d53'5"S	63d2'56"W	162
SJQN	18d26'46"S	50d24'33"W	586
SJRG	32d4'54"S	52d9'48"W	8
SJTS	2d4'22"S	56d29'20"W	25
SJTZ	4d18'10"S	47d34'54"W	244
SJVO	15d53'57"S	52d14'43"W	323
SJZA	6d52'58"S	38d36'57"W	335
SNAB	7d35'11"S	40d32'7"W	669
SNAE	8d24'28"S	37d5'18"W	634
SNAG	18d40'5"S	48d11'25"W	947
SNAL	9d46'35"S	36d37'50"W	270
SNA	20d54'41"S	44d53'40"W	1097
SNAP	15d43'59"S	43d19'26"W	528
SNAR	16d11'2"S	40d40'2"W	195
SNAS	18d13'30"S	45d11'26"W	786
SBAC	4d34'7"S	37d48'17"W	36
SNAX	22d38'24"S	50d27'11"W	564
SNBA	20d35'8"S	48d35'45"W	579
SNBC	5d30'9"S	45d12'57"W	155
SNBG	19d29'56"S	41d2'31"W	80
SNBI	4d13'41"S	44d49'11"W	20
SNBJ	8d20'42"S	36d26'28"W	640
